Bond name	ISIN	Nominal	Income	Last price	Duration	Best ask	Best bid	Coupon	Coupon's duration	Date of coupon	ACI	Repayment	Days to repayment	Volume	Type
Финстоун01	RU000A0JUDX9	1000	9,53	0	0	63	100	0	2184	04.01.2024	79,42	04.01.2024	1842	0	корп.обл.
ФолксвБ 10	RU000A0JWMT4	1000	7,25	0	25	99,5	100,18	49,89	183	13.01.2019	43,07	16.07.2021	940	0	корп.обл.
ФолксвБ1P1	RU000A0JWVM0	1000										17.10.2023	1763		
ХМАО 09	RU000A0JUWB5	100	7,83	102,96	284	103,3	103,01	2,84	91	13.01.2019	2,06	13.10.2019	298	825	суб.РФ
Хакас2013	RU000A0JU8R1	400	8,84	99,79	472	101,44	99,42	8,38	91	10.02.2019	3,5	27.10.2020	678	86406	суб.РФ
Хакас2014	RU000A0JUXW9	300	7,41	104,47	296	104,47	104,47	9,57	92	24.01.2019	5,82	27.10.2019	312	3134	суб.РФ
Хакас2015	RU000A0JVUH4	600	9,08	103,14	330	105,31	102,8	18,32	91	08.01.2019	14,3	11.10.2020	662	989876	суб.РФ
Хакас2016	RU000A0JWXQ7	1000	9,64	107,79	1168	109,95	107,07	29,17	91	31.01.2019	15,39	02.11.2023	1779	1193926	суб.РФ
ЭквилибБО1	RU000A0JUS37	1000	16,65	0	0	0	0	64,82	182	29.01.2019	50,22	30.07.2019	223	0	бирж.обл.
ЭквилибБО2	RU000A0JUSJ6	1000	16,42	0	0	0	0	64,82	182	14.02.2019	44,52	15.08.2019	239	0	бирж.обл.
Эквилиб 01	RU000A0JUH89	1000	8,13	0	0	65	0	64,82	182	06.03.2019	37,4	06.03.2019	77	0	корп.обл.
ЦентрИнБ10	RU000A0JUMX0	1000	8,39	0	154	71,01	100,1	41,14	182	22.05.2019	6,33	22.05.2019	154	0	бирж.обл.
ЦентрИнБО7	RU000A0JUA60	1000										13.11.2018	-36		
ЧеркизБ1P1	RU000A0JVUJ0	1000	10,25	0	0	103	0	62,33	182	09.04.2019	24,32	06.10.2020	657	0	бирж.обл.
Чувашия-10	RU000A0JTYB3	100										07.06.2018	-195		
Экспател01	RU000A0JVQ38	1000										22.08.2018	-119		
Экспобанк3	RU000A0JTZG9	1000	8,04	0	0	61	0	20,16	92	09.01.2019	15,56	12.07.2019	205	0	корп.обл.
ЭлемЛизБО3	RU000A0JUN08	1000	11,08	95,5	160	95,5	95,5	0,02	91	26.02.2019	0,01	28.05.2019	160	4775	бирж.обл.
ЭлемЛизБО4	RU000A0JWC66	1000	15,41	0	0	96	96,9	0,02	91	01.01.2019	0,02	30.03.2021	832	0	бирж.обл.
Энел 1P-1R	RU000A0JVU08	1000										28.09.2018	-82		
ЭнелР БО-5	RU000A0JVG97	1000										22.05.2025	2346		
ЭнелР БО-6	RU000A0JVGB6	1000										22.05.2025	2346		
ЮнКр 02-ИП	RU000A0JVSW7	1000										16.09.2020	637		
ЮнКрБанБ10	RU000A0JUAJ4	1000										20.11.2018	-29		
ЮнКрБанБ11	RU000A0JV052	1000	9,17	0	0	85,01	0	45,38	182	22.05.2019	6,98	20.11.2019	336	0	бирж.обл.
ЮнКрБанБ21	RU000A0JUMJ9	1000	-15,48	0	0	90,01	0	44,88	182	17.05.2019	8,14	17.05.2019	149	0	бирж.обл.
ЮнКрБанБ22	RU000A0JUSH0	1000	5,21	0	222	100,01	102,35	44,88	182	05.02.2019	33,04	06.08.2019	230	0	бирж.обл.
Якут 35005	RU000A0JTVM6	300										24.04.2018	-239		
Якут 35006	RU000A0JUQH4	300	7,94	103,35	506	103,35	103,35	7,55	91	26.12.2018	6,97	02.07.2021	926	6511	суб.РФ
Якут-07 об	RU000A0JVEH8	500	8,02	103,65	288	103,65	103,2	15,49	91	14.02.2019	5,79	14.05.2020	512	11897	суб.РФ
Якут-08 об	RU000A0JWGT6	850	6,29	0	550	102,77	106,5	21,81	91	13.02.2019	8,39	18.05.2021	881	0	суб.РФ
Якут-11 об	RU000A0JS850	300										17.05.2017	-581		
ЯмалСтИн 1	RU000A0JWKL5	1000	6,51	0	0	114,51	117,1	35,53	91	26.12.2018	32,79	24.04.2021	857	0	корп.обл.
ЯрОбл 2013	RU000A0JU0W8	150										13.07.2018	-159		
ЯрОбл 2014	RU000A0JUQF8	200	8,18	101,4	224	101,5	101,35	5,09	91	25.12.2018	4,75	24.09.2019	279	1780776	суб.РФ
ЯрОбл 2016	RU000A0JWHN7	1000	8,87	103,3	861	103,3	103,3	24,93	91	22.02.2019	7,12	19.05.2023	1612	51650	суб.РФ
ОФЗ 24018	RU000A0JV7K7	1000										27.12.2017	-357		
ОФЗ 25080	RU000A0JS751	1000										19.04.2017	-609		
ОФЗ 25081	RU000A0JTKZ1	1000										31.01.2018	-322		
ОФЗ 26204	RU000A0JRCJ6	1000										15.03.2018	-279		
ОФЗ 26205	RU000A0JREQ7	1000	8,17	99,129	783	101,245	99,052	37,9	182	17.04.2019	13,33	14.04.2021	847	282037067	РФ
ОФЗ 26206	RU000A0JRJU8	1000										14.06.2017	-553		
ОФЗ 26207	RU000A0JS3W6	1000	8,78	97,406	2154	98,35	97	40,64	182	13.02.2019	28,36	03.02.2027	2968	89695457	РФ
ОФЗ 26208	RU000A0JS4M5	1000	7,55	100	70	101,989	97,986	37,4	182	27.02.2019	23,22	27.02.2019	70	399921173	РФ
ОФЗ 26209	RU000A0JSMA2	1000	8,37	98,161	1134	100,709	98,002	37,9	182	23.01.2019	30,82	20.07.2022	1309	32746272	РФ
ОФЗ 26210	RU000A0JTG59	1000	7,88	99,14	351	101,171	99,111	33,91	182	12.06.2019	1,49	11.12.2019	357	440857028	РФ
ОФЗ 26211	RU000A0JTJL3	1000	8,47	95,552	1288	95,916	95,481	34,9	182	30.01.2019	27,04	25.01.2023	1498	3893634	РФ
ОФЗ 26212	RU000A0JTK38	1000	8,79	90,301	2384	90,397	90	35,15	182	30.01.2019	27,23	19.01.2028	3318	149155975	РФ
ОФЗ 26214	RU000A0JTYA5	1000	7,97	98,099	508	100,082	96,119	31,91	182	29.05.2019	3,86	27.05.2020	525	394246602	РФ
ОФЗ 26215	RU000A0JU4L3	1000	8,49	94,981	1440	97,4	94,012	34,9	182	20.02.2019	23,01	16.08.2023	1701	6460544	РФ
ОФЗ 26216	RU000A0JU9V1	1000	7,76	99,636	147	101,643	97,628	33,41	182	15.05.2019	6,61	15.05.2019	147	132834297	РФ
ОФЗ 26217	RU000A0JVW30	1000	8,25	98,599	878	101	97,575	37,4	182	20.02.2019	24,66	18.08.2021	973	1349678069	РФ
ОФЗ 26218	RU000A0JVW48	1000	8,85	98,703	2865	99,5	98,278	42,38	182	03.04.2019	18,16	17.09.2031	4655	101400692	РФ
ОФЗ 26219	RU000A0JWM07	1000	8,78	95,252	2121	97,356	95,05	38,64	182	27.03.2019	18,05	16.09.2026	2828	162645321	РФ
ОФЗ 29006	RU000A0JV4L2	1000	7,77	103,001	1755	105,07	100	41,14	182	06.02.2019	30,29	29.01.2025	2233	23968063	РФ
ОФЗ 29007	RU000A0JV4M0	1000	7,41	106,4	2210	106,745	106,251	41,54	182	13.03.2019	22,6	03.03.2027	2996	13884135	РФ
ОФЗ 29008	RU000A0JV4P3	1000	7,3	109,5	2688	109,9	109,4	42,13	182	17.04.2019	14,81	03.10.2029	3941	13599125	РФ
ОФЗ 29009	RU000A0JV4N8	1000	7,21	113	3093	113,699	112,9	42,93	182	22.05.2019	6,84	05.05.2032	4886	30004982	РФ
ОФЗ 29010	RU000A0JV4Q1	1000	7,32	113,8	3304	113,9	113,65	43,18	182	26.12.2018	41,76	06.12.2034	5831	4691541	РФ
ОФЗ 29011	RU000A0JV7J9	1000	7,68	100,492	385	102,423	98,484	39,99	182	30.01.2019	30,98	29.01.2020	406	177631339	РФ
ОФЗ 46005	RU0002867631	300	-0,02	100,001	21	100,5	100,001	0	0		0	09.01.2019	21	2706	РФ
ОФЗ 46011	RU0002867854	1000	6,25	0	0	104,055	124,999	99,73	364	28.08.2019	30,96	20.08.2025	2436	0	РФ
ОФЗ 46012	RU0002868001	975	6,56	0	2561	100,01	118,969	84,16	364	18.09.2019	21,27	05.09.2029	3913	0	РФ
ОФЗ 46014	RU0002868076	250										29.08.2018	-112		
ОФЗ 46018	RU000A0D0G29	1000	8,26	97,205	689	99,6	97,204	16,21	91	27.02.2019	3,92	24.11.2021	1071	647705	РФ
ОФЗ 46019	RU000A0JNHJ4	200	6,12	99,012	91	99,363	98,984	4	364	20.03.2019	3,01	20.03.2019	91	7927	РФ
ОФЗ 46020	RU000A0GN9A7	1000	8,85	84,754	3370	85,998	84,749	34,41	182	13.02.2019	24,01	06.02.2036	6258	593203	РФ
ОФЗ 46021	RU000A0JP2S9	500										08.08.2018	-133		
ОФЗ 46022	RU000A0JPLH5	1000	8,05	91,799	1313	91,799	90,508	27,42	182	23.01.2019	22,3	19.07.2023	1673	11920	РФ
ОФЗ 46023	RU000A0JRTL6	800	8,32	0	0	99,994	129,999	32,55	182	31.01.2019	25,04	23.07.2026	2773	0	РФ
ОФЗ 48001	RU000A0DGJ32	200										31.10.2018	-49		
ОФЗ 52001	RU000A0JVMH1	1160,57	3,13	97,4	1602	97,609	97,4	14,48	182	20.02.2019	9,54	16.08.2023	1701	14781069	РФ
